"","name","sex","year","n"
"10989","Janette","Female",1961,52
"10990","Janine","Female",1970,52
"10991","Jared","Male",1994,52
"10992","Jarrod","Male",1992,52
"10993","Jenna","Female",1991,52
"10994","Jennifer","Female",1996,52
"10995","Jeremy","Male",1980,52
"10996","Jordan","Female",1999,52
"10997","Karen","Female",1983,52
"10998","Karen","Female",1984,52
"10999","Kathleen","Female",1983,52
"11000","Kayla","Female",1985,52
"11001","Kimberley","Female",1997,52
"11002","Kirsten","Female",1976,52
"11003","Krystle","Female",1986,52
"11004","Kurt","Male",1995,52
"11005","Kym","Female",1979,52
"11006","Leah","Female",1988,52
"11007","Leisa","Female",1973,52
"11008","Lillian","Female",2003,52
"11009","Madeleine","Female",2001,52
"11010","Madeleine","Female",2003,52
"11011","Martin","Male",1978,52
"11012","Martin","Male",1983,52
"11013","Mathew","Male",1981,52
"11014","Mathew","Male",1988,52
"11015","Mathew","Male",1994,52
"11016","Micheal","Male",1980,52
"11017","Michelle","Female",1998,52
"11018","Monique","Female",1989,52
"11019","Monique","Female",1999,52
"11020","Naomi","Female",1990,52
"11021","Nikita","Female",2001,52
"11022","Noah","Male",1999,52
"11023","Patricia","Female",1979,52
"11024","Phoebe","Female",1998,52
"11025","Phoebe","Female",1999,52
"11026","Rachel","Female",2005,52
"11027","Raymond","Male",1979,52
"11028","Raymond","Male",1986,52
"11029","Rhiannon","Female",1999,52
"11030","Ricky","Male",1969,52
"11031","Sally","Female",1976,52
"11032","Sam","Male",2000,52
"11033","Sarah","Female",1970,52
"11034","Shannon","Female",1976,52
"11035","Simone","Female",1977,52
"11036","Skye","Female",1989,52
"11037","Sonia","Female",1975,52
"11038","Sonya","Female",1974,52
"11039","Sophia","Female",2000,52
"11040","Steven","Male",1998,52
"11041","Stuart","Male",1964,52
"11042","Susan","Female",1984,52
"11043","Taylor","Male",1991,52
"11044","Teresa","Female",1974,52
"11045","Terrence","Male",1963,52
"11046","Tia","Female",1997,52
"11047","Tiffany","Female",2000,52
"11048","Todd","Male",1977,52
"11049","Tracy","Female",1961,52
"11050","Travis","Male",2003,52
"11051","Troy","Male",1995,52
"11052","Tyson","Male",1993,52
"11053","Wade","Male",1973,52
"11054","Wendy","Female",1978,52
"11055","Alice","Female",1994,51
"11056","Alison","Female",1980,51
"11057","Allison","Female",1968,51
"11058","Ann","Female",1971,51
"11059","Ann","Female",1972,51
"11060","Anna","Female",1972,51
"11061","Annette","Female",1975,51
"11062","Ashley","Female",1997,51
"11063","Ashley","Male",1975,51
"11064","Ashley","Male",2002,51
"11065","Ben","Male",1990,51
"11066","Ben","Male",1994,51
"11067","Ben","Male",1999,51
"11068","Ben","Male",2003,51
"11069","Bernadette","Female",1960,51
"11070","Bethany","Female",1998,51
"11071","Bianca","Female",1983,51
"11072","Brayden","Male",1995,51
"11073","Caitlyn","Female",1997,51
"11074","Carla","Female",1983,51
"11075","Casey","Female",1998,51
"11076","Charles","Male",1991,51
"11077","Charlotte","Female",1997,51
"11078","Cheryl","Female",1973,51
"11079","Christine","Female",1987,51
"11080","Clint","Male",1981,51
"11081","Cody","Male",1990,51
"11082","Crystal","Female",1996,51
"11083","Danielle","Female",1969,51
"11084","Donald","Male",1967,51
"11085","Douglas","Male",1973,51
"11086","Dylan","Male",1988,51
"11087","Ebony","Female",1997,51
"11088","Elijah","Male",2000,51
"11089","Ellie","Female",2001,51
"11090","Gemma","Female",1986,51
"11091","Georgina","Female",1997,51
"11092","Grant","Male",1987,51
"11093","Helen","Female",1980,51
"11094","Isabelle","Female",2001,51
"11095","Jacinta","Female",1994,51
"11096","Jacqueline","Female",1987,51
"11097","Jacqueline","Female",1994,51
"11098","Jamie","Male",1999,51
"11099","Jan","Female",1960,51
"11100","Janine","Female",1969,51
"11101","Jared","Male",1986,51
"11102","Jared","Male",2002,51
"11103","Jarrod","Male",2002,51
"11104","Jasmine","Female",1983,51
"11105","Jay","Male",1986,51
"11106","Jay","Male",1997,51
"11107","Jemma","Female",2003,51
"11108","Jeremy","Male",2002,51
"11109","Jessie","Female",1993,51
"11110","Jodi","Female",1980,51
"11111","Jordan","Female",2000,51
"11112","Kaitlyn","Female",1991,51
"11113","Katherine","Female",1961,51
"11114","Katherine","Female",1995,51
"11115","Kathleen","Female",1974,51
"11116","Keith","Male",1970,51
"11117","Kerry","Male",1962,51
"11118","Kirsten","Female",1973,51
"11119","Kristy","Female",1991,51
"11120","Krystal","Female",1988,51
"11121","Kurt","Male",1990,51
"11122","Laura","Female",1979,51
"11123","Leah","Female",1987,51
"11124","Leonie","Female",1969,51
"11125","Lorraine","Female",1961,51
"11126","Lucas","Male",2000,51
"11127","Madeline","Female",2003,51
"11128","Maria","Female",1973,51
"11129","Martin","Male",1965,51
"11130","Mason","Male",2001,51
"11131","Melissa","Female",1966,51
"11132","Micheal","Male",1981,51
"11133","Mikayla","Female",2000,51
"11134","Morgan","Female",1996,51
"11135","Naomi","Female",1992,51
"11136","Nigel","Male",1976,51
"11137","Paris","Female",2001,51
"11138","Pauline","Female",1971,51
"11139","Peter","Male",1999,51
"11140","Philip","Male",1983,51
"11141","Rebekah","Female",1994,51
"11142","Rhiannon","Female",1997,51
"11143","Robyn","Female",1976,51
"11144","Rosemary","Female",1961,51
"11145","Rosemary","Female",1963,51
"11146","Ross","Male",1974,51
"11147","Ross","Male",1976,51
"11148","Sally","Female",1974,51
"11149","Sally","Female",1983,51
"11150","Samuel","Male",1977,51
"11151","Shannon","Male",1980,51
"11152","Simone","Female",1970,51
"11153","Skye","Female",1990,51
"11154","Stuart","Male",1969,51
"11155","Teresa","Female",1967,51
"11156","Tiana","Female",2001,51
"11157","Toby","Male",2003,51
"11158","Tori","Female",1993,51
"11159","Trent","Male",2000,51
"11160","Trent","Male",2001,51
"11161","Wade","Male",1974,51
"11162","Abbey","Female",1997,50
"11163","Adrian","Male",1994,50
"11164","Aiden","Male",1996,50
"11165","Alana","Female",1999,50
"11166","Alicia","Female",2002,50
"11167","Alison","Female",1985,50
"11168","Amber","Female",1983,50
"11169","Angela","Female",1995,50
"11170","Ann","Female",1968,50
"11171","Anna","Female",1968,50
"11172","Anna","Female",1969,50
"11173","Anna","Female",1971,50
"11174","Anne","Female",1973,50
"11175","Ashlee","Female",1989,50
"11176","Ashlee","Female",1999,50
"11177","Ashley","Female",1991,50
"11178","Ashley","Female",1995,50
"11179","Ashley","Male",2001,50
"11180","Bernadette","Female",1962,50
"11181","Bianca","Female",1986,50
"11182","Brenda","Female",1961,50
"11183","Brenda","Female",1965,50
"11184","Brent","Male",1981,50
"11185","Brent","Male",1992,50
"11186","Brenton","Male",1992,50
"11187","Brett","Male",1991,50
"11188","Carly","Female",1987,50
"11189","Carolyn","Female",1972,50
"11190","Casey","Female",1981,50
"11191","Catherine","Female",1995,50
"11192","Chantelle","Female",1996,50
"11193","Christina","Female",1993,50
"11194","Colleen","Female",1967,50
"11195","Damian","Male",1971,50
"11196","Dane","Male",1985,50
"11197","Danielle","Female",1970,50
"11198","Debbie","Female",1969,50
"11199","Denise","Female",1967,50
"11200","Dominic","Male",1996,50
"11201","Donna","Female",1981,50
"11202","Donna","Female",1982,50
"11203","Douglas","Male",1981,50
"11204","Ebony","Female",1993,50
"11205","Eric","Male",1960,50
"11206","Gemma","Female",1998,50
"11207","Gemma","Female",2000,50
"11208","Geoffrey","Male",1979,50
